,year_week,user_id,time,freq,time_period
39,2012-23,1693,21.58,3,Night
96,2012-24,728,16.04,4,After Noon
177,2012-24,11764,17.4,3,After Noon
195,2012-25,1693,21.58,3,Night
223,2012-25,5297,17.32,3,After Noon
322,2012-26,6171,2.05,3,Mid Night
372,2012-27,69,10.15,4,Late Morning
382,2012-27,1693,21.58,3,Night
385,2012-27,2078,6.19,3,Morning
400,2012-27,3623,14.34,3,Mid Noon
416,2012-27,5297,17.32,3,After Noon
432,2012-27,6978,15.25,3,After Noon
439,2012-27,7590,0.51,3,Mid Night
460,2012-27,9510,6.2,3,Morning
478,2012-28,510,10.27,5,Late Morning
485,2012-28,1280,2.51,4,Mid Night
486,2012-28,1339,19.56,3,Evening
541,2012-28,6978,15.25,4,After Noon
548,2012-28,7529,5.19,6,Early Morning
551,2012-28,7991,10.28,3,Late Morning
556,2012-28,8259,15.04,4,After Noon
566,2012-28,9345,20.35,3,Evening
585,2012-29,69,10.15,3,Late Morning
590,2012-29,906,22.49,3,Night
592,2012-29,1155,22.34,3,Night
597,2012-29,1525,23.1,3,Night
627,2012-29,4022,18.11,3,Evening
630,2012-29,4269,22.36,3,Night
631,2012-29,4582,13.49,4,Mid Noon
647,2012-29,5939,12.38,3,Mid Noon
649,2012-29,6050,10.06,3,Late Morning
655,2012-29,6978,15.25,3,After Noon
661,2012-29,7529,5.19,3,Early Morning
664,2012-29,7572,20.4,3,Evening
665,2012-29,7590,0.51,3,Mid Night
681,2012-29,9434,4.17,3,Early Morning
704,2012-30,69,10.15,4,Late Morning
709,2012-30,510,10.27,3,Late Morning
725,2012-30,1811,16.09,3,After Noon
748,2012-30,3623,14.34,3,Mid Noon
749,2012-30,3641,9.21,3,Late Morning
778,2012-30,5939,12.38,5,Mid Noon
779,2012-30,6050,10.06,3,Late Morning
788,2012-30,6978,15.25,5,After Noon
795,2012-30,7529,5.19,4,Early Morning
808,2012-30,8259,15.04,4,After Noon
823,2012-30,9402,13.23,3,Mid Noon
838,2012-30,11083,17.26,4,After Noon
842,2012-30,11267,5.58,3,Early Morning
847,2012-31,69,10.15,4,Late Morning
848,2012-31,197,0.26,3,Mid Night
860,2012-31,1479,10.56,3,Late Morning
866,2012-31,2042,0.11,3,Mid Night
902,2012-31,5297,17.32,3,After Noon
914,2012-31,5939,12.38,3,Mid Noon
924,2012-31,6978,15.25,5,After Noon
933,2012-31,7529,5.19,3,Early Morning
934,2012-31,7572,20.4,3,Evening
936,2012-31,7590,0.51,3,Mid Night
945,2012-31,8068,20.02,5,Evening
950,2012-31,8553,9.28,3,Late Morning
953,2012-31,9083,7.55,4,Morning
988,2012-32,906,22.49,3,Night
993,2012-32,1339,19.56,3,Evening
1002,2012-32,2042,0.11,3,Mid Night
1006,2012-32,2568,16.44,4,After Noon
1020,2012-32,3623,14.34,5,Mid Noon
1025,2012-32,4019,8.28,3,Morning
1026,2012-32,4269,22.36,3,Night
1040,2012-32,5297,17.32,3,After Noon
1055,2012-32,6851,20.52,3,Evening
1078,2012-32,8068,20.02,6,Evening
1080,2012-32,8280,13.39,4,Mid Noon
1123,2012-32,11300,13.59,3,Mid Noon
1132,2012-33,69,10.15,3,Late Morning
1152,2012-33,1481,15.11,3,After Noon
1159,2012-33,2042,0.11,5,Mid Night
1181,2012-33,4022,18.11,3,Evening
1212,2012-33,5939,12.38,5,Mid Noon
1215,2012-33,6171,2.05,3,Mid Night
1220,2012-33,6370,20.19,3,Evening
1227,2012-33,6978,15.25,4,After Noon
1231,2012-33,7210,19.17,5,Evening
1233,2012-33,7529,5.19,4,Early Morning
1242,2012-33,8029,16.15,4,After Noon
1245,2012-33,8259,15.04,3,After Noon
1246,2012-33,8280,13.39,4,Mid Noon
1261,2012-33,9345,20.35,3,Evening
1263,2012-33,9402,13.23,3,Mid Noon
1291,2012-34,69,10.15,3,Late Morning
1292,2012-34,197,0.26,3,Mid Night
1301,2012-34,906,22.49,4,Night
1322,2012-34,2474,23.14,4,Night
1341,2012-34,3623,14.34,4,Mid Noon
1346,2012-34,4022,18.11,3,Evening
1365,2012-34,5240,8.56,3,Morning
1367,2012-34,5297,17.32,4,After Noon
1377,2012-34,6171,2.05,3,Mid Night
1384,2012-34,6419,12.14,3,Mid Noon
1386,2012-34,6851,20.52,3,Evening
1387,2012-34,6978,15.25,3,After Noon
1397,2012-34,7572,20.4,3,Evening
1404,2012-34,8029,16.15,5,After Noon
1407,2012-34,8068,20.02,4,Evening
1410,2012-34,8280,13.39,3,Mid Noon
1418,2012-34,8553,9.28,3,Late Morning
1439,2012-34,9728,8.36,3,Morning
1468,2012-35,197,0.26,3,Mid Night
1472,2012-35,509,11.2,3,Late Morning
1477,2012-35,912,19.15,3,Evening
1483,2012-35,1280,2.51,4,Mid Night
